Algorithm,Dataset,Eval Date,LLM,Score,Pass rate,X-shot,Parameters,Samples,Total input tokens,Average input tokens,Total output tokens,Average output tokens,All tokens,Cost($),Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/7,Doubao-lite-32k,45.28,74.02,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"1,850,249","7,284","150,301",592,"2,000,550",0.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,gpt-4o,81.50,99.21,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"2,347,538","9,242","266,069","1,048","2,613,607",8.5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,Qwen2.5-72B-Instruct,81.10,99.21,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"6,371,642","25,085","260,613","1,026","6,632,255",3.7389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,Llama-3.3-70B-Instruct,83.07,100.00,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"4,735,188","18,642","480,660","1,892","5,215,848",2.9404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,Qwen2.5-7B-Instruct,53.94,100.00,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"8,224,468","32,380","378,214","1,489","8,602,682",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,Llama-3.1-8B-Instruct,59.06,100.00,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"4,896,222","19,276","843,462","3,321","5,739,684",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,Internllm2_5-7B,35.83,99.61,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"4,263,136","16,784","471,424","1,856","4,734,560",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,Qwen2-1.5B-Instruct,31.50,98.82,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"6,058,022","23,850","192,680",759,"6,250,702",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/1/22,Qwen2-0.5B-Instruct,29.92,100.00,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"8,100,085","31,890","600,196","2,363","8,700,281",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,AQuA,2025/2/10,deepseek-r1:1.5b,24.80,55.51,0,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",254,"605,028","2,382","189,484",746,"794,512",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,gpt-3.5-turbo,17.20,100.00,4,,500,"154,881",310,"110,744",221,"265,625",0.2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Doubao-lite-32k,37.40,100.00,4,,500,"166,870",334,"144,860",290,"311,730",0.0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/22,gpt-4o,41.80,100.00,4,,500,"153,832",308,"240,615",481,"394,447",2.7907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Qwen2.5-72B-Instruct,70.20,100.00,4,,500,"169,549",339,"275,042",550,"444,591",0.2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Llama-3.3-70B-Instruct,69.40,100.00,4,,500,"155,879",312,"267,337",535,"423,216",0.2386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Qwen2.5-7B-Instruct,59.40,100.00,4,,500,"169,549",339,"241,813",484,"411,362",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Llama-3.1-8B-Instruct,38.60,100.00,4,,500,"155,563",311,"348,371",697,"503,934",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Internllm2_5-7B,22.80,100.00,4,,500,"201,883",404,"266,005",532,"467,888",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Qwen2-1.5B-Instruct,7.00,100.00,4,,500,"158,777",318,"255,101",510,"413,878",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,Qwen2-0.5B-Instruct,2.60,100.00,4,,500,"159,049",318,"270,281",541,"429,330",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,MATH-500,2025/1/24,deepseek-r1:1.5b,43.80,100.00,4,,500,"157,049",314,"865,499","1,731","1,022,548",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,gpt-3.5-turbo,39.80,100.00,4,,500,"329,381",659,"102,815",206,"432,196",0.3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/22,Doubao-lite-32k,59.00,100.00,4,,500,"336,370",673,"143,571",287,"479,941",0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,gpt-4o,68.00,100.00,4,,500,"329,332",659,"223,356",447,"552,688",3.0569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/22,Qwen2.5-72B-Instruct,80.20,100.00,4,,500,"338,549",677,"280,466",561,"619,015",0.3490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,Llama-3.3-70B-Instruct,71.20,100.00,4,,500,"342,879",686,"271,342",543,"614,221",0.3463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,Qwen2.5-7B-Instruct,69.80,100.00,4,,500,"354,049",708,"263,155",526,"617,204",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,Llama-3.1-8B-Instruct,25.80,100.00,4,,500,"342,879",686,"282,689",565,"625,568",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,Internllm2_5-7B,46.60,100.00,4,,500,"332,883",666,"213,891",428,"546,774",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,Qwen2-1.5B-Instruct,15.20,100.00,4,,500,"349,049",698,"187,328",375,"536,377",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,Qwen2-0.5B-Instruct,6.20,100.00,4,,500,"349,049",698,"200,139",400,"549,188",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoT,MATH-500,2025/1/24,deepseek-r1:1.5b,49.40,100.00,4,,500,"341,549",683,"857,580","1,715","1,199,129",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,gpt-3.5-turbo,28.80,83.80,4,,500,"239,902",480,"32,014",64,"271,916",0.1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Doubao-lite-32k,32.60,68.00,4,,500,"254,377",509,"48,771",98,"303,148",0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,gpt-4o,46.20,86.40,4,,500,"241,357",483,"99,603",199,"340,960",1.5994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Qwen2.5-72B-Instruct,47.20,82.20,4,,500,"242,549",485,"170,823",342,"413,372",0.2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Llama-3.3-70B-Instruct,42.60,80.20,4,,500,"253,879",508,"249,717",499,"503,596",0.2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Qwen2.5-7B-Instruct,39.60,74.40,4,,500,"258,549",517,"150,263",301,"408,812",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Llama-3.1-8B-Instruct,25.40,68.40,4,,500,"253,879",508,"208,392",417,"462,271",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Internllm2_5-7B,15.00,32.40,4,,500,"247,883",496,"120,826",242,"368,709",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Qwen2-1.5B-Instruct,0.80,2.20,4,,500,"248,509",497,"538,361","1,077","786,870",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,Qwen2-0.5B-Instruct,0.00,0.00,4,,500,"253,549",507,"183,653",367,"437,202",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoT,MATH-500,2025/2/10,deepseek-r1:1.5b,1.00,1.60,4,,500,"245,549",491,"785,518","1,571","1,031,067",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,gpt-3.5-turbo,40.80,100.00,4,"temperature=1, path_num=5",500,"345,411",691,"705,408","1,411","1,050,819",1.2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Doubao-lite-32k,65.80,99.80,4,"temperature=1, path_num=5",500,"362,390",725,"715,613","1,431","1,078,003",0.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,gpt-4o,74.60,100.00,4,"temperature=1, path_num=5",500,"345,347",691,"1,149,778","2,300","1,495,125",12.3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Qwen2.5-72B-Instruct,79.80,100.00,4,"temperature=1, path_num=5",500,"1,775,395","3,551","1,506,954","3,014","3,282,349",1.8504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Llama-3.3-70B-Instruct,72.40,100.00,4,"temperature=1, path_num=5",500,"1,797,045","3,594","1,368,466","2,737","3,165,511",1.7845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Qwen2.5-7B-Instruct,71.20,100.00,4,"temperature=1, path_num=5",500,"1,855,922","3,712","1,299,553","2,599","3,155,475",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Llama-3.1-8B-Instruct,19.80,99.80,4,"temperature=1, path_num=5",500,"1,734,545","3,469","1,756,289","3,513","3,490,834",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Internllm2_5-7B,9.20,97.40,4,"temperature=1, path_num=5",500,"1,994,983","3,990","1,254,893","2,510","3,249,876",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Qwen2-1.5B-Instruct,2.00,89.40,4,"temperature=1, path_num=5",500,"1,805,170","3,610","1,333,854","2,668","3,139,024",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,Qwen2-0.5B-Instruct,2.20,98.80,4,"temperature=1, path_num=5",500,"1,808,691","3,617","988,991","1,978","2,797,682",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-CoT,MATH-500,2025/2/10,deepseek-r1:1.5b,46.80,99.20,4,"temperature=1, path_num=5",500,"1,858,874","3,718","12,109,294","24,219","13,968,168",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,gpt-3.5-turbo,23.80,100.00,4,max_steps=10,500,"3,708,461","7,417","124,253",249,"3,832,714",2.0406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Doubao-lite-32k,47.20,100.00,4,max_steps=10,500,"4,234,620","8,469","154,046",308,"4,388,666",0.1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,gpt-4o,54.00,100.00,4,max_steps=10,500,"5,834,537","11,669","318,718",637,"6,153,255",17.7735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Qwen2.5-72B-Instruct,62.80,100.00,4,max_steps=10,500,"5,747,268","11,495","379,849",760,"6,127,117",3.4541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Llama-3.3-70B-Instruct,64.60,100.00,4,max_steps=10,500,"5,223,611","10,447","418,268",837,"5,641,879",3.1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Qwen2.5-7B-Instruct,48.80,100.00,4,max_steps=10,500,"4,646,708","9,293","343,532",687,"4,990,240",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Llama-3.1-8B-Instruct,28.80,100.00,4,max_steps=10,500,"7,486,706","14,973","1,276,923","2,554","8,763,629",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Internllm2_5-7B,14.80,100.00,4,max_steps=10,500,"11,831,496","23,663","2,354,609","4,709","14,186,105",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Qwen2-1.5B-Instruct,8.20,100.00,4,max_steps=10,500,"8,430,774","16,862","556,287","1,113","8,987,061",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,Qwen2-0.5B-Instruct,0.60,100.00,4,max_steps=10,500,"18,137,392","36,275","1,305,048","2,610","19,442,440",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReAct-Pro*,MATH-500,2025/2/10,deepseek-r1:1.5b,24.40,100.00,4,max_steps=10,500,"20,729,970","41,460","9,447,378","18,895","30,177,348",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,gpt-3.5-turbo,9.80,100.00,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"9,711,244","19,422","290,523",581,"10,001,767",5.2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Doubao-lite-32k,1.20,94.20,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"5,338,500","10,677","226,000",452,"5,564,500",0.2371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,gpt-4o,3.20,100.00,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"14,881,985","29,764","360,447",721,"15,242,432",40.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Qwen2.5-72B-Instruct,10.80,100.00,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"15,657,730","31,315","381,631",763,"16,039,361",9.0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Llama-3.3-70B-Instruct,1.40,69.80,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"14,099,500","28,199","570,000","1,140","14,669,500",8.2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Qwen2.5-7B-Instruct,1.40,91.60,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"9,749,000","19,498","418,500",837,"10,167,500",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Llama-3.1-8B-Instruct,1.80,90.80,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"7,729,000","15,458","1,306,000","2,612","9,035,000",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Internllm2_5-7B,0.20,99.00,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"7,515,000","15,030","835,500","1,671","8,350,500",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Qwen2-1.5B-Instruct,0.80,97.20,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"4,408,000","8,816","127,000",254,"4,535,000",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,Qwen2-0.5B-Instruct,0.00,96.20,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"5,590,500","11,181","406,000",812,"5,996,500",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToT,MATH-500,2025/2/10,deepseek-r1:1.5b,0.40,71.60,4,"search_type=bfs, b=1, max_depth=6, max_steps=6, generation_n=1, evaluation_n=3, evaluation_type=vote, use_llm_completion=true",500,"1,831,000","3,662","110,500",221,"1,941,500",0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
